Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9649122807017544,0.9722222222222222,0.9722222222222222,0.9722222222222222
Random Forest,0.9210526315789473,0.9436619718309859,0.9305555555555556,0.9370629370629371
Hybrid Quantum Model,0.9473684210526315,0.9342105263157895,0.9861111111111112,0.9594594594594594
